iter	Passed	Remaining
415	3110	5113
416	3119	5109
417	3129	5105
418	3139	5103
419	3147	5095
420	3154	5087
421	3162	5080
422	3171	5075
423	3177	5066
424	3185	5059
425	3192	5051
426	3200	5044
427	3207	5036
428	3214	5027
429	3221	5019
430	3228	5011
431	3236	5003
432	3243	4995
433	3249	4987
434	3256	4978
435	3264	4971
436	3271	4962
437	3279	4957
438	3287	4949
439	3294	4941
440	3302	4934
441	3310	4929
442	3319	4922
443	3327	4916
444	3335	4909
445	3343	4902
446	3352	4898
447	3360	4890
448	3368	4883
449	3375	4875
450	3382	4867
451	3389	4859
452	3399	4855
453	3410	4852
454	3419	4846
455	3426	4839
456	3434	4831
457	3441	4824
458	3449	4817
459	3456	4809
460	3463	4801
461	3470	4792
462	3479	4786
463	3485	4777
464	3491	4768
465	3498	4760
466	3505	4752
467	3512	4743
468	3520	4736
469	3526	4727
470	3533	4719
471	3540	4710
472	3547	4702
473	3553	4693
474	3560	4684
475	3567	4677
476	3575	4669
477	3582	4661
478	3589	4653
479	3596	4645
480	3603	4636
481	3610	4629
482	3617	4620
483	3624	4613
484	3631	4605
485	3640	4598
486	3648	4591
487	3654	4583
488	3662	4576
489	3669	4568
490	3678	4562
491	3685	4554
492	3693	4546
493	3699	4538
494	3708	4532
495	3715	4525
496	3723	4518
497	3731	4510
498	3738	4502
499	3746	4496
500	3754	4488
501	3761	4481
502	3768	4473
503	3775	4464
504	3783	4457
505	3790	4449
506	3797	4441
507	3804	4434
508	3812	4427
509	3820	4419
510	3828	4412
511	3835	4404
512	3842	4396
513	3849	4389
514	3858	4382
515	3865	4374
516	3872	4366
517	3879	4358
518	3886	4350
519	3894	4343
520	3901	4336
521	3908	4327
522	3916	4320
523	3922	4312
524	3934	4309
525	3941	4301
526	3948	4293
527	3955	4285
528	3963	4278
529	3971	4271
530	3978	4263
531	3985	4254
532	3991	4246
533	3999	4239
534	4007	4232
535	4014	4224
536	4022	4217
537	4029	4209
538	4037	4202
539	4045	4195
540	4053	4188
541	4061	4181
542	4068	4173
543	4076	4166
544	4084	4159
545	4092	4152
546	4099	4144
547	4108	4138
548	4115	4130
549	4123	4123
550	4131	4116
551	4138	4108
552	4146	4101
553	4154	4094
554	4162	4087
555	4169	4079
556	4177	4072
557	4184	4064
558	4192	4057
559	4200	4050
560	4213	4048
561	4221	4041
562	4228	4033
563	4235	4025
564	4242	4016
565	4249	4008
566	4256	4001
567	4265	3994
568	4272	3987
569	4279	3979
570	4287	3971
571	4294	3964
572	4302	3957
573	4310	3949
574	4318	3943
575	4327	3936
576	4339	3932
577	4346	3925
578	4357	3921
579	4365	3913
580	4373	3906
581	4379	3897
582	4386	3889
583	4393	3882
584	4401	3874
585	4409	3868
586	4416	3860
587	4424	3852
588	4431	3844
589	4438	3836
590	4445	3828
591	4452	3820
592	4460	3813
593	4467	3806
594	4475	3798
595	4483	3791
596	4490	3783
597	4499	3777
598	4507	3770
599	4516	3763
600	4525	3757
601	4532	3749
602	4539	3741
603	4546	3733
604	4554	3726
605	4561	3718
606	4568	3710
607	4575	3702
608	4581	3693
609	4588	3685
610	4595	3678
611	4603	3670
612	4610	3662
613	4617	3655
614	4624	3647
615	4631	3639
616	4639	3631
617	4647	3624
618	4654	3616
619	4661	3608
620	4668	3601
621	4677	3594
622	4684	3586
623	4692	3579
624	4699	3571
625	4706	3563
626	4714	3556
627	4721	3548
628	4728	3540
629	4736	3533
630	4745	3526
631	4753	3519
632	4760	3512
633	4768	3504
634	4776	3497
635	4784	3490
636	4791	3482
637	4798	3474
638	4806	3467
639	4813	3459
640	4820	3452
641	4828	3444
642	4837	3437
643	4843	3429
644	4851	3422
645	4860	3415
646	4866	3407
647	4873	3399
648	4880	3391
649	4888	3384
650	4894	3375
651	4901	3368
652	4909	3360
653	4917	3353
654	4923	3345
655	4930	3337
656	4937	3329
657	4945	3322
658	4954	3315
659	4963	3308
660	4971	3301
661	4979	3294
662	4986	3286
663	4993	3278
664	5000	3271
665	5009	3264
666	5017	3257
667	5024	3249
668	5031	3241
669	5039	3234
670	5046	3226
671	5052	3218
672	5059	3210
673	5066	3202
674	5073	3194
675	5080	3186
676	5088	3179
677	5095	3171
678	5103	3164
679	5111	3157
680	5118	3149
681	5126	3142
682	5133	3134
683	5140	3126
684	5148	3119
685	5156	3111
686	5164	3104
687	5171	3096
688	5178	3089
689	5185	3081
690	5192	3073
691	5200	3066
692	5207	3058
693	5215	3051
694	5222	3043
695	5230	3035
696	5237	3028
697	5244	3020
698	5251	3012
699	5258	3005
700	5267	2997
701	5274	2990
702	5281	2982
703	5288	2974
704	5295	2967
705	5302	2959
706	5309	2951
707	5316	2943
