iter	RMSE
237	0.4358171724
238	0.4357633126
239	0.435694327
240	0.4356625168
241	0.4356272768
242	0.4355881687
243	0.4355402663
244	0.4355071054
245	0.4354487082
246	0.4353856414
247	0.4353294453
248	0.4352696594
249	0.4352213535
250	0.4351923369
251	0.4351548766
252	0.4350996874
253	0.435056786
254	0.4350059879
255	0.4349643791
256	0.4349256339
257	0.4348834
258	0.4348413324
259	0.4348008988
260	0.4347635128
261	0.4347010078
262	0.4346640198
263	0.434627245
264	0.4345866095
265	0.4345301556
266	0.4344760018
267	0.4344151219
268	0.4343876239
269	0.4343616953
270	0.4342899548
271	0.4342571507
272	0.4342235403
273	0.4341913757
274	0.4341409605
275	0.4341221874
276	0.4340845005
277	0.4340371352
278	0.4339897306
279	0.4339516628
280	0.4339253001
281	0.4338846437
282	0.4338579334
283	0.4338220575
284	0.4337645656
285	0.4337422745
286	0.4337177395
287	0.4336904765
288	0.4336664419
289	0.4336296102
290	0.4335815979
291	0.4335524893
292	0.4334988674
293	0.4334600227
294	0.4334098002
295	0.4333792089
296	0.4333510506
297	0.4333167492
298	0.4332800277
299	0.4332358548
300	0.4331950217
301	0.4331397599
302	0.4331105399
303	0.4330650962
304	0.4330181928
305	0.4329893146
306	0.4329457558
307	0.4329100463
308	0.4328784344
309	0.4328188925
310	0.4327621364
311	0.4327266874
312	0.4326966534
313	0.4326591732
314	0.4326116824
315	0.4325633134
316	0.4325265584
317	0.4324846559
318	0.4324539771
319	0.4324137999
320	0.4323817196
321	0.432346012
322	0.4323164681
323	0.4322836111
324	0.4322410095
325	0.4321996156
326	0.4321643811
327	0.432122072
328	0.4320880181
329	0.4320636617
330	0.4320095917
331	0.4319760965
332	0.4319447527
333	0.4319153321
334	0.4318853098
335	0.4318541943
336	0.4318185711
337	0.4317903715
338	0.4317465164
339	0.4317090469
340	0.4316648365
341	0.4316371082
342	0.4316038715
343	0.4315779493
344	0.4315320559
345	0.4314764365
346	0.4314335014
347	0.4314124759
348	0.4313798271
349	0.4313576332
350	0.4313175414
351	0.4312849964
352	0.4312496135
353	0.4312238135
354	0.4311805193
355	0.4311388941
356	0.4311061854
357	0.4310514727
358	0.4310183332
359	0.4309822806
360	0.4309469616
361	0.4309182318
362	0.4308909084
363	0.4308666138
364	0.4308358423
365	0.430807017
366	0.4307810831
367	0.4307426143
368	0.4307173367
369	0.4306923614
370	0.4306628387
371	0.4306327732
372	0.430617243
373	0.4305894106
374	0.4305578544
375	0.4305219567
376	0.4304862111
377	0.4304466664
378	0.43040169
379	0.4303457617
380	0.4303158893
381	0.4302805563
382	0.4302377937
383	0.4302021715
384	0.430165099
385	0.430119259
386	0.4300770402
387	0.4300560979
388	0.4300194393
389	0.4299922584
390	0.4299693008
391	0.4299247392
392	0.4298864434
393	0.4298539347
394	0.4297961325
395	0.4297780589
396	0.4297314765
397	0.4297037282
398	0.4296673558
399	0.4296369075
400	0.4295999935
401	0.4295744302
402	0.4295546411
403	0.4295272427
404	0.4294870715
405	0.4294561492
406	0.4294202577
407	0.4293842099
408	0.4293444649
409	0.4293139197
410	0.4292780639
411	0.4292489779
412	0.4292217788
413	0.4291736295
414	0.4291524492
415	0.4291371885
416	0.4291177958
417	0.4290677142
418	0.4290253833
419	0.42900428
420	0.4289784869
421	0.4289517774
422	0.4289239844
423	0.4288979242
424	0.4288798612
425	0.4288457856
426	0.4288146607
427	0.4287902758
428	0.4287657438
429	0.4287196197
430	0.4287001374
431	0.428674437
432	0.4286618571
433	0.4286430206
434	0.4285912104
435	0.4285763227
436	0.428554674
437	0.428541781
438	0.4284876832
439	0.4284726168
440	0.4284270806
441	0.4283940086
442	0.4283672862
443	0.4283464043
444	0.4283130697
445	0.4282717156
446	0.4282305201
447	0.4281947855
448	0.4281791557
449	0.4281642767
450	0.4281418657
451	0.4281073807
452	0.4280749233
453	0.4280467069
454	0.4280247064
455	0.4279835708
456	0.4279496372
457	0.4279297447
458	0.4279031506
459	0.4278543787
460	0.4278121884
461	0.4277948337
462	0.4277752613
463	0.4277247131
464	0.4276864693
465	0.4276580389
466	0.4276342779
467	0.4276043065
468	0.4275854549
469	0.4275585565
470	0.4275327946
471	0.4274931309
472	0.4274394066
473	0.4274093157
474	0.4273681343
475	0.4273322591
476	0.427307293
477	0.4272822707
478	0.4272591103
479	0.4272236206
480	0.4271838936
481	0.4271676838
482	0.4271399431
483	0.4270991356
484	0.4270713002
485	0.427040568
486	0.4269970054
487	0.4269740057
488	0.4269538803
489	0.4269242455
490	0.426904004
491	0.4268681046
492	0.4268452032
493	0.4268200925
494	0.4267818148
495	0.4267468855
496	0.4267144718
497	0.4267045522
498	0.4266529635
499	0.426609631
500	0.4265877463
501	0.4265646437
502	0.4265410652
503	0.426507567
504	0.4264920555
505	0.4264424807
506	0.4264053964
507	0.426386771
508	0.4263599612
509	0.4263461616
510	0.4263278097
511	0.4263041603
512	0.4262759818
513	0.4262451979
514	0.4262027924
515	0.4261628384
516	0.4261405887
517	0.4261203296
518	0.4260944428
519	0.4260751351
520	0.4260551258
521	0.4260061966
522	0.4259643416
523	0.4259139545
524	0.4258923073
525	0.4258550436
526	0.4258282246
527	0.4258035881
528	0.4257662248
529	0.4257333972
530	0.425710907
531	0.4256912017
532	0.4256568519
533	0.4256288898
534	0.4256011241
535	0.4255664226
536	0.4255239328
537	0.4255068935
538	0.4254840184
539	0.4254605915
540	0.4254275988
541	0.4254108452
542	0.4253641003
543	0.4253491903
544	0.4253265575
545	0.4252794733
546	0.4252400599
547	0.4252147604
548	0.4251949375
549	0.4251704546
550	0.4251398229
551	0.4251159607
552	0.4250839259
553	0.4250489045
554	0.4250230963
555	0.424994354
556	0.424978141
557	0.4249600972
558	0.4249161999
559	0.4248848519
560	0.4248545241
561	0.4248285079
562	0.4247998516
563	0.4247810008
564	0.4247442646
565	0.4247308061
566	0.4247104957
567	0.4246822227
568	0.424662057
569	0.4246286501
570	0.4245952783
571	0.4245665818
572	0.4245442375
573	0.4245146545
574	0.4244923384
575	0.4244512388
576	0.4244207896
577	0.4243926467
578	0.4243559912
579	0.4243328226
580	0.4243119085
581	0.4242654243
582	0.4242479602
583	0.42420595
584	0.4241753877
585	0.4241567527
586	0.4241346071
587	0.4240915955
588	0.42406956
589	0.4240431715
590	0.4240173813
591	0.4239731076
592	0.423955812
593	0.4239235149
594	0.4238841924
595	0.4238406745
596	0.4237988952
597	0.4237809386
598	0.4237700491
599	0.4237466487
600	0.4237240493
601	0.4236935871
602	0.4236649075
603	0.4236363817
604	0.4236247498
605	0.4235832307
606	0.4235466432
607	0.4235251238
608	0.4235029265
609	0.423484273
610	0.4234495258
611	0.4234252109
612	0.4234073979
613	0.4233900035
614	0.4233574424
615	0.4233226367
616	0.4232870193
617	0.4232631447
618	0.4232363834
619	0.4232143263
620	0.423185951
621	0.4231535027
622	0.4231205889
623	0.4230883129
624	0.4230690723
625	0.4230441988
626	0.4230065807
627	0.4229720831
628	0.4229520423
629	0.4229163164
630	0.4228779663
631	0.4228489714
632	0.4228239561
633	0.4227911117
634	0.4227750513
635	0.4227523006
636	0.4227198868
637	0.422681752
638	0.4226707626
639	0.4226493027
640	0.4226127709
641	0.4225884814
642	0.4225523443
643	0.4225415787
644	0.422494279
645	0.4224721556
646	0.422456495
647	0.4224080575
648	0.4223874641
649	0.4223645315
650	0.422335893
651	0.4223204651
652	0.4222790308
653	0.4222568502
654	0.4222244452
655	0.422170947
656	0.4221528387
657	0.4221337584
658	0.4220939365
659	0.4220789161
660	0.422046769
661	0.4220350999
662	0.4220184375
663	0.4219828146
664	0.4219520265
665	0.4219419462
666	0.4219258742
667	0.4219031923
668	0.4218800994
669	0.4218538814
670	0.4218322347
671	0.4218081265
672	0.4217932724
673	0.4217764211
674	0.4217658261
675	0.4217455487
676	0.421724463
677	0.4217073674
678	0.4216728824
679	0.4216387725
680	0.4216172845
681	0.4215924165
682	0.4215682007
683	0.4215548848
684	0.4215281212
685	0.4215064812
686	0.4214724207
687	0.421440502
688	0.4214135569
689	0.421377769
690	0.4213316436
691	0.4213072482
692	0.4212987477
693	0.4212652198
694	0.4212460732
695	0.4212216259
696	0.4211801106
697	0.4211399471
698	0.4211179776
699	0.4210932695
700	0.4210609351
701	0.4210347464
702	0.4210048402
703	0.4209886373
704	0.42096922
705	0.4209559916
706	0.4209320928
707	0.4209162138
708	0.4209038089
709	0.4208896063
710	0.4208690988
711	0.4208517526
712	0.4208207719
713	0.4208037731
714	0.4207734622
715	0.4207365879
716	0.4207124645
717	0.4206889778
718	0.4206644946
719	0.4206510372
720	0.4206282127
721	0.4206120639
722	0.4205965624
723	0.4205675727
724	0.4205527774
725	0.4205126899
726	0.4204870136
727	0.4204722631
728	0.4204421415
729	0.4204252936
730	0.4204054166
731	0.4203908418
732	0.4203656966
733	0.4203285516
734	0.4202917509
735	0.4202726291
736	0.4202478957
737	0.4202210756
738	0.4202046958
739	0.4201729001
740	0.4201639067
741	0.4201482824
742	0.4201185447
743	0.4200949318
744	0.4200776181
745	0.4200522939
746	0.4200255327
747	0.4200110554
748	0.4199758047
749	0.4199666714
750	0.4199459704
751	0.4199294423
752	0.4199051539
753	0.4198967929
754	0.4198773298
755	0.419858734
756	0.4198331449
757	0.4198218595
758	0.4198107245
759	0.4197850994
760	0.4197783008
761	0.4197473097
762	0.419724667
763	0.4196998348
764	0.419683606
765	0.4196495997
766	0.4196344459
767	0.4196184192
768	0.4196098675
769	0.4195927297
770	0.4195781339
771	0.419561017
772	0.4195375115
773	0.4194982326
774	0.4194689957
775	0.4194583874
776	0.4194251076
777	0.4194108755
778	0.4193899725
779	0.4193545932
780	0.4193208532
781	0.4193045376
782	0.419285205
783	0.4192709194
784	0.4192328507
785	0.4192122807
786	0.4191830773
787	0.4191543186
788	0.419131126
789	0.4191083351
790	0.4190775145
791	0.4190425042
792	0.4190237068
793	0.4190092388
794	0.4189907316
795	0.4189753349
796	0.4189515765
797	0.4189357888
798	0.4189108461
799	0.4188958165
800	0.41887206
801	0.4188419971
802	0.4188132058
803	0.4187902533
804	0.4187759017
805	0.4187588404
806	0.4187402374
807	0.4187083604
808	0.4186918813
809	0.4186584335
810	0.4186378566
811	0.4186178047
812	0.4186005816
813	0.4185609707
814	0.418538319
815	0.4185109834
816	0.4185048431
817	0.4184904027
818	0.4184713831
819	0.4184500032
820	0.4184369867
821	0.4184213861
822	0.4184064745
823	0.4183855706
824	0.4183536397
825	0.4183365686
826	0.4183232232
827	0.4182923674
828	0.4182619492
829	0.4182470603
830	0.4182404438
831	0.418224329
832	0.4182183402
833	0.4181852278
834	0.4181685077
835	0.4181440478
836	0.4181151228
837	0.4181012841
838	0.4180889556
839	0.418066137
840	0.4180441433
841	0.4180242356
842	0.4180111036
843	0.417994658
844	0.4179784091
845	0.4179598393
846	0.4179471283
847	0.4179306081
848	0.4179126204
849	0.4179034275
850	0.4178762411
851	0.4178579514
852	0.4178266935
853	0.4177917226
854	0.4177628534
855	0.4177481467
856	0.4177281247
857	0.4177152323
858	0.4177037328
859	0.4176831023
860	0.4176631856
861	0.417643471
862	0.4176181793
863	0.4175981105
864	0.417578875
865	0.4175455407
866	0.4175221409
867	0.417504524
868	0.417487365
869	0.4174720356
870	0.4174379082
871	0.4174212069
872	0.4174093671
873	0.4173832512
874	0.4173516031
875	0.4173236009
876	0.41730627
877	0.41728384
878	0.4172696624
879	0.4172526107
880	0.4172347896
881	0.4172087037
882	0.4171925827
883	0.4171634581
884	0.4171390012
885	0.4171104793
886	0.4170869028
887	0.4170692532
888	0.4170369037
889	0.4170105348
890	0.4169871465
891	0.4169680383
892	0.4169391864
893	0.4169182716
894	0.4168935622
895	0.4168840251
896	0.4168646456
897	0.4168370522
898	0.4168189359
899	0.4167982347
900	0.4167821627
901	0.4167579376
902	0.4167477839
903	0.4167351187
904	0.4167000846
905	0.4166844165
906	0.4166592172
907	0.4166310486
908	0.4165995588
909	0.41658179
910	0.4165569974
911	0.4165477783
912	0.4165233263
913	0.4164881818
914	0.4164679949
915	0.4164542556
916	0.4164422256
917	0.416410638
918	0.4163984949
919	0.4163597989
920	0.4163432953
921	0.4163193472
922	0.4162909363
923	0.4162781349
924	0.4162606535
925	0.4162440878
926	0.4162317618
927	0.4162004671
928	0.4161821801
929	0.4161419186
930	0.41610992
931	0.4160976236
932	0.416078856
933	0.4160544873
934	0.4160265463
935	0.4160213846
936	0.4160047711
937	0.4159983815
938	0.4159920076
939	0.4159830252
940	0.4159623166
941	0.4159482723
942	0.4159244572
943	0.4159078805
944	0.4158749791
945	0.4158641642
946	0.4158557254
947	0.4158374245
948	0.4158155671
949	0.415789818
950	0.4157543856
951	0.4157285601
952	0.4157167704
953	0.4156958933
954	0.4156693813
955	0.4156547565
956	0.415625886
957	0.4156015595
958	0.4155926927
959	0.4155619597
960	0.415538483
961	0.4155292593
962	0.4155101149
963	0.4154811522
964	0.415467449
965	0.4154483926
966	0.4154239716
967	0.4154064211
968	0.4153867924
969	0.4153652012
970	0.4153511471
971	0.4153368645
972	0.4153247835
973	0.4153066487
974	0.4152704873
975	0.4152473201
976	0.4152274221
977	0.4152032755
978	0.4151951412
979	0.4151682106
980	0.4151559223
981	0.4151422502
982	0.4151278778
983	0.4151150173
984	0.4151033788
985	0.4150895268
986	0.4150674057
987	0.415048858
988	0.4150172701
989	0.4150029327
990	0.4149926022
991	0.4149780978
992	0.4149607152
993	0.4149510155
994	0.4149416242
995	0.4149136806
996	0.4148934697
997	0.4148799605
998	0.4148505554
999	0.4148262653
